"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"17775","1253","1253","1253","0.5612","0.5612","0.5612"
"17854","1259","1259","1259","0.5622","0.5622","0.5622"
"17933","1264","1264","1264","0.5592","0.5592","0.5592"
"18012","1270","1270","1270","0.5631","0.5631","0.5631"
"18091","1275","1275","1275","0.5566","0.5566","0.5566"
"18170","1281","1281","1281","0.5643","0.5643","0.5643"
"18249","1286","1286","1286","0.5602","0.5602","0.5602"
"18328","1292","1292","1292","0.5635","0.5635","0.5635"
"18407","1298","1298","1298","0.5608","0.5608","0.5608"
"18486","1303","1303","1303","0.5585","0.5585","0.5585"
"18565","1309","1309","1309","0.5603","0.5603","0.5603"
"18644","1314","1314","1314","0.5594","0.5594","0.5594"
"18723","1320","1320","1320","0.5659","0.5659","0.5659"
"18802","1326","1326","1326","0.5654","0.5654","0.5654"
"18881","1331","1331","1331","0.5597","0.5597","0.5597"
"18960","1337","1337","1337","0.57","0.57","0.57"
"19039","1342","1342","1342","0.5588","0.5588","0.5588"
"19118","1348","1348","1348","0.5638","0.5638","0.5638"
"19197","1353","1353","1353","0.5753","0.5753","0.5753"
"19276","1359","1359","1359","0.5616","0.5616","0.5616"
"19355","1365","1365","1365","0.5614","0.5614","0.5614"
"19434","1370","1370","1370","0.5656","0.5656","0.5656"
"19513","1376","1376","1376","0.5653","0.5653","0.5653"
"19592","1381","1381","1381","0.5625","0.5625","0.5625"
"19671","1387","1387","1387","0.5628","0.5628","0.5628"
"19750","1393","1393","1393","0.5664","0.5664","0.5664"
"19829","1398","1398","1398","0.5624","0.5624","0.5624"
"19908","1404","1404","1404","0.5718","0.5718","0.5718"
"19987","1409","1409","1409","0.5654","0.5654","0.5654"
"20066","1415","1415","1415","0.568","0.568","0.568"
"20145","1420","1420","1420","0.5662","0.5662","0.5662"
