"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"20461","1443","1443","1443","0.5822","0.5822","0.5822"
"20540","1448","1448","1448","0.5802","0.5802","0.5802"
"20619","1454","1454","1454","0.5776","0.5776","0.5776"
"20698","1459","1459","1459","0.5782","0.5782","0.5782"
"20777","1465","1465","1465","0.5786","0.5786","0.5786"
"20856","1471","1471","1471","0.5807","0.5807","0.5807"
"20935","1476","1476","1476","0.5825","0.5825","0.5825"
"21014","1482","1482","1482","0.5836","0.5836","0.5836"
"21093","1487","1487","1487","0.5851","0.5851","0.5851"
"21172","1493","1493","1493","0.5822","0.5822","0.5822"
"21251","1499","1499","1499","0.5836","0.5836","0.5836"
"21330","1504","1504","1504","0.583","0.583","0.583"
"21409","1510","1510","1510","0.5815","0.5815","0.5815"
"21488","1515","1515","1515","0.5791","0.5791","0.5791"
"21567","1521","1521","1521","0.5779","0.5779","0.5779"
"21646","1526","1526","1526","0.5792","0.5792","0.5792"
"21725","1532","1532","1532","0.5795","0.5795","0.5795"
"21804","1538","1538","1538","0.5811","0.5811","0.5811"
"21883","1543","1543","1543","0.5812","0.5812","0.5812"
"21962","1549","1549","1549","0.5865","0.5865","0.5865"
"22041","1554","1554","1554","0.5778","0.5778","0.5778"
"22120","1560","1560","1560","0.5768","0.5768","0.5768"
"22199","1565","1565","1565","0.5834","0.5834","0.5834"
"22278","1571","1571","1571","0.5823","0.5823","0.5823"
"22357","1577","1577","1577","0.5838","0.5838","0.5838"
"22436","1582","1582","1582","0.5829","0.5829","0.5829"
"22515","1588","1588","1588","0.5845","0.5845","0.5845"
"22594","1593","1593","1593","0.5813","0.5813","0.5813"
"22673","1599","1599","1599","0.5863","0.5863","0.5863"
"22752","1605","1605","1605","0.5881","0.5881","0.5881"
"22831","1610","1610","1610","0.5827","0.5827","0.5827"
"22910","1616","1616","1616","0.582","0.582","0.582"
"22989","1621","1621","1621","0.5847","0.5847","0.5847"
"23068","1627","1627","1627","0.5865","0.5865","0.5865"
"23147","1632","1632","1632","0.5829","0.5829","0.5829"
"23226","1638","1638","1638","0.587","0.587","0.587"
"23305","1644","1644","1644","0.5851","0.5851","0.5851"
"23384","1649","1649","1649","0.5875","0.5875","0.5875"
"23463","1655","1655","1655","0.5874","0.5874","0.5874"
"23542","1660","1660","1660","0.5846","0.5846","0.5846"
"23621","1666","1666","1666","0.5893","0.5893","0.5893"
"23700","1672","1672","1672","0.5865","0.5865","0.5865"
"23779","1677","1677","1677","0.5829","0.5829","0.5829"
"23858","1683","1683","1683","0.5823","0.5823","0.5823"
"23937","1688","1688","1688","0.591","0.591","0.591"
"24016","1694","1694","1694","0.5883","0.5883","0.5883"
"24095","1699","1699","1699","0.5891","0.5891","0.5891"
"24174","1705","1705","1705","0.5828","0.5828","0.5828"
"24253","1711","1711","1711","0.5862","0.5862","0.5862"
"24332","1716","1716","1716","0.5852","0.5852","0.5852"
"24411","1722","1722","1722","0.5874","0.5874","0.5874"
"24490","1727","1727","1727","0.5895","0.5895","0.5895"
"24569","1733","1733","1733","0.5876","0.5876","0.5876"
"24648","1738","1738","1738","0.5836","0.5836","0.5836"
"24727","1744","1744","1744","0.5978","0.5978","0.5978"
"24806","1750","1750","1750","0.5935","0.5935","0.5935"
"24885","1755","1755","1755","0.5866","0.5866","0.5866"
"24964","1761","1761","1761","0.5878","0.5878","0.5878"
"25043","1766","1766","1766","0.5926","0.5926","0.5926"
"25122","1772","1772","1772","0.5857","0.5857","0.5857"
"25201","1778","1778","1778","0.5912","0.5912","0.5912"
"25280","1783","1783","1783","0.5869","0.5869","0.5869"
"25359","1789","1789","1789","0.5923","0.5923","0.5923"
"25438","1794","1794","1794","0.5838","0.5838","0.5838"
"25517","1800","1800","1800","0.5877","0.5877","0.5877"
"25596","1805","1805","1805","0.5911","0.5911","0.5911"
"25675","1811","1811","1811","0.5854","0.5854","0.5854"
"25754","1817","1817","1817","0.5851","0.5851","0.5851"
"25833","1822","1822","1822","0.5911","0.5911","0.5911"
"25912","1828","1828","1828","0.5931","0.5931","0.5931"
"25991","1833","1833","1833","0.5915","0.5915","0.5915"
"26070","1839","1839","1839","0.5894","0.5894","0.5894"
"26149","1844","1844","1844","0.5891","0.5891","0.5891"
"26228","1850","1850","1850","0.5934","0.5934","0.5934"
"26307","1856","1856","1856","0.5906","0.5906","0.5906"
"26386","1861","1861","1861","0.5902","0.5902","0.5902"
"26465","1867","1867","1867","0.5863","0.5863","0.5863"
"26544","1872","1872","1872","0.5845","0.5845","0.5845"
"26623","1878","1878","1878","0.5907","0.5907","0.5907"
"26702","1884","1884","1884","0.595","0.595","0.595"
"26781","1889","1889","1889","0.5887","0.5887","0.5887"
"26860","1895","1895","1895","0.586","0.586","0.586"
"26939","1900","1900","1900","0.5931","0.5931","0.5931"
"27018","1906","1906","1906","0.5868","0.5868","0.5868"
"27097","1911","1911","1911","0.5927","0.5927","0.5927"
"27176","1917","1917","1917","0.589","0.589","0.589"
"27255","1923","1923","1923","0.5931","0.5931","0.5931"
"27334","1928","1928","1928","0.59","0.59","0.59"
"27413","1934","1934","1934","0.5905","0.5905","0.5905"
"27492","1939","1939","1939","0.5943","0.5943","0.5943"
"27571","1945","1945","1945","0.5876","0.5876","0.5876"
"27650","1951","1951","1951","0.5902","0.5902","0.5902"
"27729","1956","1956","1956","0.5958","0.5958","0.5958"
"27808","1962","1962","1962","0.5911","0.5911","0.5911"
"27887","1967","1967","1967","0.5962","0.5962","0.5962"
"27966","1973","1973","1973","0.5914","0.5914","0.5914"
"28045","1978","1978","1978","0.595","0.595","0.595"
"28124","1984","1984","1984","0.5961","0.5961","0.5961"
"28203","1990","1990","1990","0.5975","0.5975","0.5975"
"28282","1995","1995","1995","0.5895","0.5895","0.5895"
"28361","2001","2001","2001","0.5956","0.5956","0.5956"
"28440","2006","2006","2006","0.5963","0.5963","0.5963"
"28519","2012","2012","2012","0.5943","0.5943","0.5943"
"28598","2017","2017","2017","0.5929","0.5929","0.5929"
